postcode,dwelling types,number of bedrooms,rent
2340,Total,2 Bedrooms,330
2340,Total,3 Bedrooms,400
2340,Total,4 or more Bedrooms,490
2340,House,Total,400
2340,House,Bedsitter,
2340,House,1 Bedroom,
2340,House,Not Specified,400
2340,House,2 Bedrooms,330
2340,House,3 Bedrooms,400
2340,House,4 or more Bedrooms,490
2340,Other,Total,
2340,Other,Bedsitter,
2340,Other,1 Bedroom,
2340,Other,Not Specified,
2340,Other,2 Bedrooms,
2340,Other,3 Bedrooms,
2340,Other,4 or more Bedrooms,
2340,Townhouse,Total,
2340,Townhouse,1 Bedroom,
2340,Townhouse,Not Specified,
2340,Townhouse,2 Bedrooms,
2340,Townhouse,3 Bedrooms,
2340,Townhouse,4 or more Bedrooms,
2340,Flat/Unit,Total,318
2340,Flat/Unit,Bedsitter,
2340,Flat/Unit,1 Bedroom,250
2340,Flat/Unit,Not Specified,
2340,Flat/Unit,2 Bedrooms,320
2340,Flat/Unit,3 Bedrooms,
2340,Flat/Unit,4 or more Bedrooms,
2341,Total,Total,
2341,Total,1 Bedroom,
2341,Total,Not Specified,
2341,Total,2 Bedrooms,
2341,Total,3 Bedrooms,
2341,Total,4 or more Bedrooms,
2341,House,Total,
2341,House,1 Bedroom,
2341,House,Not Specified,
2341,House,2 Bedrooms,
2341,House,3 Bedrooms,
2341,House,4 or more Bedrooms,
2341,Other,Total,
2341,Other,2 Bedrooms,
2341,Other,3 Bedrooms,
2341,Townhouse,Total,
2341,Townhouse,Not Specified,
2341,Flat/Unit,Total,
2341,Flat/Unit,1 Bedroom,
2341,Flat/Unit,2 Bedrooms,
2342,Total,Total,
2342,Total,1 Bedroom,
2342,Total,2 Bedrooms,
2342,Total,3 Bedrooms,
2342,Total,4 or more Bedrooms,
2342,House,Total,
2342,House,2 Bedrooms,
2342,House,3 Bedrooms,
2342,House,4 or more Bedrooms,
2342,Flat/Unit,Total,
2342,Flat/Unit,1 Bedroom,
2343,Total,Total,350
2343,Total,Bedsitter,
2343,Total,1 Bedroom,
2343,Total,Not Specified,
2343,Total,2 Bedrooms,
2343,Total,3 Bedrooms,
2343,Total,4 or more Bedrooms,
2343,House,Total,375
2343,House,1 Bedroom,
2343,House,Not Specified,
2343,House,2 Bedrooms,
2343,House,3 Bedrooms,
2343,House,4 or more Bedrooms,
2343,Other,Total,
2343,Other,Not Specified,
2343,Other,2 Bedrooms,
2343,Other,3 Bedrooms,
2343,Townhouse,Total,
2343,Townhouse,2 Bedrooms,
2343,Flat/Unit,Total,
2343,Flat/Unit,Bedsitter,
2343,Flat/Unit,1 Bedroom,
2343,Flat/Unit,Not Specified,
2343,Flat/Unit,2 Bedrooms,
2343,Flat/Unit,3 Bedrooms,
2344,Total,Total,
2344,Total,Not Specified,
2344,Total,2 Bedrooms,
2344,Total,3 Bedrooms,
2344,Total,4 or more Bedrooms,
2344,House,Total,
2344,House,Not Specified,
2344,House,2 Bedrooms,
2344,House,3 Bedrooms,
2344,House,4 or more Bedrooms,
2345,Total,Total,
2345,Total,1 Bedroom,
2345,Total,Not Specified,
2345,Total,2 Bedrooms,
2345,Total,3 Bedrooms,
2345,Total,4 or more Bedrooms,
2345,House,Total,
2345,House,1 Bedroom,
2345,House,Not Specified,
2345,House,2 Bedrooms,
2345,House,3 Bedrooms,
2345,House,4 or more Bedrooms,
2345,Other,Total,
2345,Other,4 or more Bedrooms,
2346,Total,Total,340
2346,Total,1 Bedroom,
2346,Total,Not Specified,
2346,Total,2 Bedrooms,
2346,Total,3 Bedrooms,
2346,Total,4 or more Bedrooms,
2346,House,Total,350
2346,House,1 Bedroom,
2346,House,Not Specified,
2346,House,2 Bedrooms,
2346,House,3 Bedrooms,
2346,House,4 or more Bedrooms,
2346,Other,Total,
2346,Other,1 Bedroom,
2346,Other,Not Specified,
2346,Other,2 Bedrooms,
2346,Other,3 Bedrooms,
2346,Other,4 or more Bedrooms,
2346,Townhouse,Total,
2346,Townhouse,3 Bedrooms,
2346,Flat/Unit,Total,
2346,Flat/Unit,1 Bedroom,
2346,Flat/Unit,Not Specified,
2346,Flat/Unit,2 Bedrooms,
2346,Flat/Unit,3 Bedrooms,
2346,Flat/Unit,4 or more Bedrooms,
2347,Total,Total,220
2347,Total,Bedsitter,
2347,Total,1 Bedroom,
2347,Total,Not Specified,
2347,Total,2 Bedrooms,
2347,Total,3 Bedrooms,
2347,Total,4 or more Bedrooms,
2347,House,Total,
2347,House,1 Bedroom,
2347,House,Not Specified,
2347,House,2 Bedrooms,
2347,House,3 Bedrooms,
2347,House,4 or more Bedrooms,
2347,Other,Total,
2347,Other,Not Specified,
2347,Other,2 Bedrooms,
2347,Other,3 Bedrooms,
2347,Other,4 or more Bedrooms,
2347,Townhouse,Total,
2347,Townhouse,2 Bedrooms,
2347,Flat/Unit,Total,
2347,Flat/Unit,Bedsitter,
2347,Flat/Unit,1 Bedroom,
2347,Flat/Unit,Not Specified,
2347,Flat/Unit,2 Bedrooms,
2350,Total,Total,390
2350,Total,Bedsitter,
2350,Total,1 Bedroom,220
2350,Total,Not Specified,370
2350,Total,2 Bedrooms,328
2350,Total,3 Bedrooms,443
2350,Total,4 or more Bedrooms,500
2350,House,Total,410
2350,House,Bedsitter,
2350,House,1 Bedroom,248
2350,House,Not Specified,378
2350,House,2 Bedrooms,325
2350,House,3 Bedrooms,450
2350,House,4 or more Bedrooms,495
2350,Other,Total,250
2350,Other,Bedsitter,
2350,Other,1 Bedroom,
2350,Other,Not Specified,
2350,Other,2 Bedrooms,
2350,Other,3 Bedrooms,
2350,Other,4 or more Bedrooms,
2350,Townhouse,Total,
2350,Townhouse,Bedsitter,
2350,Townhouse,1 Bedroom,
2350,Townhouse,Not Specified,
2350,Townhouse,2 Bedrooms,
2350,Townhouse,3 Bedrooms,
2350,Townhouse,4 or more Bedrooms,
2350,Flat/Unit,Total,300
2350,Flat/Unit,Bedsitter,
2350,Flat/Unit,1 Bedroom,
2350,Flat/Unit,Not Specified,
2350,Flat/Unit,2 Bedrooms,313
2350,Flat/Unit,3 Bedrooms,
2350,Flat/Unit,4 or more Bedrooms,
2352,Total,Total,390
2352,Total,1 Bedroom,
2352,Total,Not Specified,
2352,Total,2 Bedrooms,
2352,Total,3 Bedrooms,
2352,Total,4 or more Bedrooms,
2352,House,Total,400
2352,House,1 Bedroom,
2352,House,Not Specified,
2352,House,2 Bedrooms,
2352,House,3 Bedrooms,
2352,House,4 or more Bedrooms,
2352,Other,Total,
2352,Other,1 Bedroom,
2352,Other,Not Specified,
2352,Other,3 Bedrooms,
2352,Other,4 or more Bedrooms,
2352,Townhouse,Total,
2352,Townhouse,Not Specified,
2352,Townhouse,3 Bedrooms,
2352,Flat/Unit,Total,
2352,Flat/Unit,1 Bedroom,
2352,Flat/Unit,2 Bedrooms,
2352,Flat/Unit,3 Bedrooms,
2353,Total,Total,
2353,Total,1 Bedroom,
2353,Total,Not Specified,
2353,Total,2 Bedrooms,
2353,Total,3 Bedrooms,
2353,Total,4 or more Bedrooms,
2353,House,Total,
2353,House,1 Bedroom,
2353,House,2 Bedrooms,
2353,House,3 Bedrooms,
2353,House,4 or more Bedrooms,
2353,Other,Total,
2353,Other,1 Bedroom,
2353,Other,2 Bedrooms,
2353,Flat/Unit,Total,
2353,Flat/Unit,1 Bedroom,
2353,Flat/Unit,Not Specified,
2353,Flat/Unit,2 Bedrooms,
2354,Total,Total,300
2354,Total,1 Bedroom,
2354,Total,Not Specified,
2354,Total,2 Bedrooms,
2354,Total,3 Bedrooms,
2354,Total,4 or more Bedrooms,
2354,House,Total,
2354,House,Not Specified,
2354,House,2 Bedrooms,
2354,House,3 Bedrooms,
2354,House,4 or more Bedrooms,
2354,Other,Total,
2354,Other,1 Bedroom,
2354,Other,Not Specified,
2354,Other,3 Bedrooms,
2354,Townhouse,Total,
2354,Townhouse,2 Bedrooms,
2354,Flat/Unit,Total,
2354,Flat/Unit,1 Bedroom,
2354,Flat/Unit,2 Bedrooms,
2355,Total,Total,
2355,Total,1 Bedroom,
2355,Total,Not Specified,
2355,Total,2 Bedrooms,
2355,Total,3 Bedrooms,
2355,Total,4 or more Bedrooms,
2355,House,Total,
2355,House,1 Bedroom,
2355,House,Not Specified,
2355,House,2 Bedrooms,
2355,House,3 Bedrooms,
2355,House,4 or more Bedrooms,
2356,Total,Total,
2356,Total,2 Bedrooms,
2356,House,Total,
2356,House,2 Bedrooms,
2356,Other,Total,
2356,Other,2 Bedrooms,
2356,Flat/Unit,Total,
2356,Flat/Unit,2 Bedrooms,
2357,Total,Total,300
2357,Total,1 Bedroom,
2357,Total,Not Specified,
2357,Total,2 Bedrooms,
2357,Total,3 Bedrooms,
2357,Total,4 or more Bedrooms,
2357,House,Total,
2357,House,1 Bedroom,
2357,House,Not Specified,
2357,House,2 Bedrooms,
2357,House,3 Bedrooms,
2357,House,4 or more Bedrooms,
2357,Other,Total,
2357,Other,1 Bedroom,
2357,Other,Not Specified,
2357,Other,2 Bedrooms,
2357,Other,3 Bedrooms,
2357,Other,4 or more Bedrooms,
2357,Townhouse,Total,
2357,Townhouse,2 Bedrooms,
2357,Flat/Unit,Total,
2357,Flat/Unit,1 Bedroom,
2357,Flat/Unit,Not Specified,
2357,Flat/Unit,2 Bedrooms,
2357,Flat/Unit,4 or more Bedrooms,
2358,Total,Total,360
2358,Total,Bedsitter,
2358,Total,1 Bedroom,
2358,Total,Not Specified,
2358,Total,2 Bedrooms,
2358,Total,3 Bedrooms,
2358,Total,4 or more Bedrooms,
2358,House,Total,380
2358,House,Bedsitter,
2358,House,1 Bedroom,
2358,House,Not Specified,
2358,House,2 Bedrooms,
2358,House,3 Bedrooms,
2358,House,4 or more Bedrooms,
2358,Other,Total,
2358,Other,1 Bedroom,
2358,Other,Not Specified,
2358,Other,2 Bedrooms,
2358,Other,4 or more Bedrooms,
2358,Townhouse,Total,
2358,Townhouse,2 Bedrooms,
2358,Townhouse,3 Bedrooms,
2358,Flat/Unit,Total,
2358,Flat/Unit,1 Bedroom,
2358,Flat/Unit,2 Bedrooms,
2358,Flat/Unit,3 Bedrooms,
2359,Total,Total,
2359,Total,Not Specified,
2359,Total,2 Bedrooms,
2359,Total,3 Bedrooms,
2359,Total,4 or more Bedrooms,
2359,House,Total,
2359,House,Not Specified,
2359,House,2 Bedrooms,
2359,House,3 Bedrooms,
2359,House,4 or more Bedrooms,
2359,Other,Total,
2359,Other,2 Bedrooms,
2360,Total,Total,350
2360,Total,Bedsitter,
2360,Total,1 Bedroom,
2360,Total,Not Specified,370
2360,Total,2 Bedrooms,280
2360,Total,3 Bedrooms,360
2360,Total,4 or more Bedrooms,380
2360,House,Total,360
2360,House,Bedsitter,
2360,House,1 Bedroom,
2360,House,Not Specified,370
2360,House,2 Bedrooms,
2360,House,3 Bedrooms,350
2360,House,4 or more Bedrooms,380
2360,Other,Total,
2360,Other,Bedsitter,
2360,Other,1 Bedroom,
2360,Other,Not Specified,
2360,Other,2 Bedrooms,
2360,Other,3 Bedrooms,
2360,Other,4 or more Bedrooms,
2360,Townhouse,Total,
2360,Townhouse,1 Bedroom,
2360,Townhouse,Not Specified,
2360,Townhouse,2 Bedrooms,
2360,Townhouse,3 Bedrooms,
2360,Flat/Unit,Total,280
2360,Flat/Unit,Bedsitter,
2360,Flat/Unit,1 Bedroom,
2360,Flat/Unit,Not Specified,
2360,Flat/Unit,2 Bedrooms,280
2360,Flat/Unit,3 Bedrooms,
2360,Flat/Unit,4 or more Bedrooms,
2361,Total,Total,
2361,Total,1 Bedroom,
2361,Total,Not Specified,
2361,Total,2 Bedrooms,
2361,Total,3 Bedrooms,
2361,Total,4 or more Bedrooms,
2361,House,Total,
2361,House,1 Bedroom,
2361,House,Not Specified,
2361,House,2 Bedrooms,
2361,House,3 Bedrooms,
2361,House,4 or more Bedrooms,
2361,Other,Total,
2361,Other,Not Specified,
2361,Other,2 Bedrooms,
2361,Other,3 Bedrooms,
2361,Flat/Unit,Total,
2361,Flat/Unit,2 Bedrooms,
2365,Total,Total,350
2365,Total,Bedsitter,
2365,Total,1 Bedroom,
2365,Total,Not Specified,
2365,Total,2 Bedrooms,
2365,Total,3 Bedrooms,
2365,Total,4 or more Bedrooms,
2365,House,Total,380
2365,House,1 Bedroom,
2365,House,Not Specified,
2365,House,2 Bedrooms,
2365,House,3 Bedrooms,
2365,House,4 or more Bedrooms,
2365,Other,Total,
2365,Other,Bedsitter,
2365,Other,1 Bedroom,
2365,Other,Not Specified,
2365,Other,2 Bedrooms,
2365,Other,3 Bedrooms,
2365,Townhouse,Total,
2365,Townhouse,3 Bedrooms,
2365,Flat/Unit,Total,
2365,Flat/Unit,1 Bedroom,
2365,Flat/Unit,Not Specified,
2365,Flat/Unit,2 Bedrooms,
2365,Flat/Unit,3 Bedrooms,
2369,Total,Total,
2369,Total,1 Bedroom,
2369,Total,Not Specified,
2369,Total,2 Bedrooms,
2369,Total,3 Bedrooms,
2369,House,Total,
2369,House,Not Specified,
2369,House,2 Bedrooms,
2369,House,3 Bedrooms,
2369,Flat/Unit,Total,
2369,Flat/Unit,1 Bedroom,
2369,Flat/Unit,2 Bedrooms,
2370,Total,Total,300
2370,Total,Bedsitter,
2370,Total,1 Bedroom,
2370,Total,Not Specified,300
2370,Total,2 Bedrooms,275
2370,Total,3 Bedrooms,358
2370,Total,4 or more Bedrooms,
2370,House,Total,325
2370,House,Bedsitter,
2370,House,1 Bedroom,
2370,House,Not Specified,
2370,House,2 Bedrooms,
2370,House,3 Bedrooms,350
2370,House,4 or more Bedrooms,
2370,Other,Total,270
2370,Other,Bedsitter,
2370,Other,1 Bedroom,
2370,Other,Not Specified,
2370,Other,2 Bedrooms,
2370,Other,3 Bedrooms,
2370,Other,4 or more Bedrooms,
2370,Townhouse,Total,
2370,Townhouse,1 Bedroom,
2370,Townhouse,2 Bedrooms,
2370,Townhouse,3 Bedrooms,
2370,Flat/Unit,Total,223
2370,Flat/Unit,1 Bedroom,
2370,Flat/Unit,Not Specified,
2370,Flat/Unit,2 Bedrooms,
2370,Flat/Unit,3 Bedrooms,
2370,Flat/Unit,4 or more Bedrooms,
2371,Total,Total,
2371,Total,1 Bedroom,
2371,Total,Not Specified,
2371,Total,2 Bedrooms,
2371,Total,3 Bedrooms,
2371,Total,4 or more Bedrooms,
2371,House,Total,
2371,House,1 Bedroom,
2371,House,Not Specified,
2371,House,2 Bedrooms,
2371,House,3 Bedrooms,
2371,House,4 or more Bedrooms,
2371,Flat/Unit,Total,
2371,Flat/Unit,1 Bedroom,
2372,Total,Total,400
2372,Total,Bedsitter,
2372,Total,1 Bedroom,
2372,Total,Not Specified,
2372,Total,2 Bedrooms,
2372,Total,3 Bedrooms,395
2372,Total,4 or more Bedrooms,438
2372,House,Total,400
2372,House,1 Bedroom,
2372,House,Not Specified,
2372,House,2 Bedrooms,
2372,House,3 Bedrooms,400
2372,House,4 or more Bedrooms,438
2372,Other,Total,
2372,Other,Bedsitter,
2372,Other,1 Bedroom,
2372,Other,Not Specified,
2372,Other,3 Bedrooms,
2372,Other,4 or more Bedrooms,
2372,Flat/Unit,Total,
2372,Flat/Unit,1 Bedroom,
2372,Flat/Unit,Not Specified,
2372,Flat/Unit,2 Bedrooms,
2372,Flat/Unit,3 Bedrooms,
2379,Total,Total,
2379,Total,2 Bedrooms,
2379,Total,3 Bedrooms,
2379,Total,4 or more Bedrooms,
2379,House,Total,
2379,House,2 Bedrooms,
2379,House,3 Bedrooms,
2379,House,4 or more Bedrooms,
2380,Total,Total,400
2380,Total,Bedsitter,
2380,Total,1 Bedroom,
2380,Total,Not Specified,390
2380,Total,2 Bedrooms,385
2380,Total,3 Bedrooms,410
2380,Total,4 or more Bedrooms,530
2380,House,Total,420
2380,House,1 Bedroom,
2380,House,Not Specified,400
2380,House,2 Bedrooms,
2380,House,3 Bedrooms,400
2380,House,4 or more Bedrooms,530
2380,Other,Total,
2380,Other,Bedsitter,
2380,Other,1 Bedroom,
2380,Other,Not Specified,
2380,Other,2 Bedrooms,
2380,Other,3 Bedrooms,
2380,Other,4 or more Bedrooms,
2380,Townhouse,Total,
2380,Townhouse,1 Bedroom,
2380,Townhouse,Not Specified,
2380,Townhouse,2 Bedrooms,
2380,Townhouse,3 Bedrooms,
2380,Flat/Unit,Total,398
2380,Flat/Unit,Bedsitter,
2380,Flat/Unit,1 Bedroom,
2380,Flat/Unit,Not Specified,
2380,Flat/Unit,2 Bedrooms,380
2380,Flat/Unit,3 Bedrooms,
2380,Flat/Unit,4 or more Bedrooms,
2381,Total,Total,
2381,Total,1 Bedroom,
2381,Total,Not Specified,
2381,Total,2 Bedrooms,
2381,Total,3 Bedrooms,
2381,Total,4 or more Bedrooms,
2381,House,Total,
2381,House,1 Bedroom,
2381,House,Not Specified,
2381,House,2 Bedrooms,
2381,House,3 Bedrooms,
2381,House,4 or more Bedrooms,
2381,Other,Total,
2381,Other,3 Bedrooms,
2381,Townhouse,Total,
2381,Townhouse,1 Bedroom,
2382,Total,Total,
2382,Total,1 Bedroom,
2382,Total,Not Specified,
2382,Total,2 Bedrooms,
2382,Total,3 Bedrooms,
2382,Total,4 or more Bedrooms,
2382,House,Total,
2382,House,1 Bedroom,
2382,House,Not Specified,
2382,House,2 Bedrooms,
2382,House,3 Bedrooms,
2382,House,4 or more Bedrooms,
2382,Other,Total,
2382,Other,1 Bedroom,
2382,Other,Not Specified,
2382,Other,2 Bedrooms,
2382,Other,3 Bedrooms,
2382,Flat/Unit,Total,
2382,Flat/Unit,1 Bedroom,
2382,Flat/Unit,Not Specified,
2382,Flat/Unit,2 Bedrooms,
2382,Flat/Unit,3 Bedrooms,
2382,Flat/Unit,4 or more Bedrooms,
2386,Total,Total,
2386,Total,3 Bedrooms,
2386,House,Total,
2386,House,3 Bedrooms,
2387,Total,Total,
2387,Total,Not Specified,
2387,House,Total,
2387,House,Not Specified,
2388,Total,Total,
2388,Total,1 Bedroom,
2388,Total,Not Specified,
2388,Total,2 Bedrooms,
2388,Total,3 Bedrooms,
2388,Total,4 or more Bedrooms,
2388,House,Total,
2388,House,Not Specified,
2388,House,2 Bedrooms,
2388,House,3 Bedrooms,
2388,House,4 or more Bedrooms,
2388,Other,Total,
2388,Other,2 Bedrooms,
2388,Other,4 or more Bedrooms,
2388,Townhouse,Total,
2388,Townhouse,2 Bedrooms,
2388,Flat/Unit,Total,
2388,Flat/Unit,1 Bedroom,
2388,Flat/Unit,Not Specified,
2388,Flat/Unit,2 Bedrooms,
2388,Flat/Unit,3 Bedrooms,
2390,Total,Total,385
2390,Total,1 Bedroom,
2390,Total,Not Specified,330
2390,Total,2 Bedrooms,280
2390,Total,3 Bedrooms,450
2390,Total,4 or more Bedrooms,480
2390,House,Total,425
2390,House,1 Bedroom,
2390,House,Not Specified,345
2390,House,2 Bedrooms,
2390,House,3 Bedrooms,450
2390,House,4 or more Bedrooms,480
2390,Other,Total,
2390,Other,1 Bedroom,
2390,Other,Not Specified,
2390,Other,2 Bedrooms,
2390,Other,3 Bedrooms,
2390,Other,4 or more Bedrooms,
2390,Townhouse,Total,
2390,Townhouse,2 Bedrooms,
2390,Townhouse,3 Bedrooms,
2390,Flat/Unit,Total,250
2390,Flat/Unit,1 Bedroom,
2390,Flat/Unit,Not Specified,
2390,Flat/Unit,2 Bedrooms,265
2390,Flat/Unit,3 Bedrooms,
2390,Flat/Unit,4 or more Bedrooms,
2395,Total,Total,
2395,Total,Not Specified,
2395,Total,2 Bedrooms,
2395,Total,3 Bedrooms,
2395,Total,4 or more Bedrooms,
2395,House,Total,
2395,House,2 Bedrooms,
2395,House,3 Bedrooms,
2395,House,4 or more Bedrooms,
2395,Other,Total,
2395,Other,Not Specified,
2395,Flat/Unit,Total,
2395,Flat/Unit,2 Bedrooms,
2396,Total,Total,
2396,Total,1 Bedroom,
2396,Total,2 Bedrooms,
2396,Total,3 Bedrooms,
2396,Total,4 or more Bedrooms,
2396,House,Total,
2396,House,2 Bedrooms,
2396,House,3 Bedrooms,
2396,House,4 or more Bedrooms,
2396,Flat/Unit,Total,
2396,Flat/Unit,1 Bedroom,
2396,Flat/Unit,2 Bedrooms,
2397,Total,Total,
2397,Total,2 Bedrooms,
2397,Total,3 Bedrooms,
2397,Total,4 or more Bedrooms,
2397,House,Total,
2397,House,2 Bedrooms,
2397,House,3 Bedrooms,
2397,House,4 or more Bedrooms,
2397,Flat/Unit,Total,
2397,Flat/Unit,2 Bedrooms,
2398,Total,Total,
2398,Total,3 Bedrooms,
2398,House,Total,
2398,House,3 Bedrooms,
2399,Total,Total,
2399,Total,Not Specified,
2399,Total,2 Bedrooms,
2399,Total,3 Bedrooms,
2399,House,Total,
2399,House,Not Specified,
2399,House,2 Bedrooms,
2399,House,3 Bedrooms,
2399,Flat/Unit,Total,
2399,Flat/Unit,2 Bedrooms,
2400,Total,Total,300
2400,Total,1 Bedroom,195
2400,Total,Not Specified,
2400,Total,2 Bedrooms,300
2400,Total,3 Bedrooms,400
2400,Total,4 or more Bedrooms,
2400,House,Total,390
2400,House,1 Bedroom,
2400,House,Not Specified,
2400,House,2 Bedrooms,
2400,House,3 Bedrooms,400
2400,House,4 or more Bedrooms,
2400,Other,Total,
2400,Other,1 Bedroom,
2400,Other,Not Specified,
2400,Other,2 Bedrooms,
2400,Other,3 Bedrooms,
2400,Other,4 or more Bedrooms,
2400,Townhouse,Total,
2400,Townhouse,1 Bedroom,
2400,Townhouse,2 Bedrooms,
2400,Townhouse,3 Bedrooms,
2400,Flat/Unit,Total,250
2400,Flat/Unit,1 Bedroom,195
2400,Flat/Unit,Not Specified,
2400,Flat/Unit,2 Bedrooms,270
2400,Flat/Unit,3 Bedrooms,
2401,Total,Total,
2401,Total,2 Bedrooms,
2401,Total,3 Bedrooms,
2401,House,Total,
2401,House,2 Bedrooms,
2401,House,3 Bedrooms,
2402,Total,Total,
2402,Total,Bedsitter,
2402,Total,1 Bedroom,
2402,Total,Not Specified,
2402,Total,2 Bedrooms,
2402,Total,3 Bedrooms,
2402,Total,4 or more Bedrooms,
2402,House,Total,
2402,House,Bedsitter,
2402,House,1 Bedroom,
2402,House,Not Specified,
2402,House,2 Bedrooms,
2402,House,3 Bedrooms,
2402,House,4 or more Bedrooms,
2402,Other,Total,
2402,Other,Not Specified,
2402,Other,2 Bedrooms,
2402,Other,3 Bedrooms,
2402,Townhouse,Total,
2402,Townhouse,4 or more Bedrooms,
2402,Flat/Unit,Total,
2402,Flat/Unit,1 Bedroom,
2402,Flat/Unit,Not Specified,
2402,Flat/Unit,2 Bedrooms,
2402,Flat/Unit,3 Bedrooms,
2403,Total,Total,
2403,Total,1 Bedroom,
2403,Total,Not Specified,
2403,Total,2 Bedrooms,
2403,Total,3 Bedrooms,
2403,Total,4 or more Bedrooms,
2403,House,Total,
2403,House,Not Specified,
2403,House,2 Bedrooms,
2403,House,3 Bedrooms,
2403,House,4 or more Bedrooms,
2403,Other,Total,
2403,Other,1 Bedroom,
2403,Other,3 Bedrooms,
2404,Total,Total,
2404,Total,Bedsitter,
2404,Total,1 Bedroom,
2404,Total,Not Specified,
2404,Total,2 Bedrooms,
2404,Total,3 Bedrooms,
2404,Total,4 or more Bedrooms,
2404,House,Total,
2404,House,1 Bedroom,
2404,House,Not Specified,
2404,House,2 Bedrooms,
2404,House,3 Bedrooms,
2404,House,4 or more Bedrooms,
2404,Other,Total,
2404,Other,Bedsitter,
2404,Other,2 Bedrooms,
2404,Flat/Unit,Total,
2404,Flat/Unit,1 Bedroom,
2404,Flat/Unit,2 Bedrooms,
2404,Flat/Unit,3 Bedrooms,
2405,Total,Total,
2405,Total,1 Bedroom,
2405,Total,2 Bedrooms,
2405,Total,3 Bedrooms,
2405,House,Total,
2405,House,2 Bedrooms,
2405,House,3 Bedrooms,
2405,Other,Total,
2405,Other,1 Bedroom,
2406,Total,Total,
2406,Total,Not Specified,
2406,Total,2 Bedrooms,
2406,Total,3 Bedrooms,
2406,Total,4 or more Bedrooms,
2406,House,Total,
2406,House,2 Bedrooms,
2406,House,3 Bedrooms,
2406,House,4 or more Bedrooms,
2406,Other,Total,
2406,Other,Not Specified,
2406,Flat/Unit,Total,
2406,Flat/Unit,2 Bedrooms,
2406,Flat/Unit,3 Bedrooms,
2407,Total,Total,
2407,Total,4 or more Bedrooms,
2407,House,Total,
2407,House,4 or more Bedrooms,
2408,Total,Total,
2408,Total,3 Bedrooms,
2408,Total,4 or more Bedrooms,
2408,House,Total,
2408,House,3 Bedrooms,
2408,House,4 or more Bedrooms,
2409,Total,Total,
2409,Total,Not Specified,
2409,Total,2 Bedrooms,
2409,Total,3 Bedrooms,
2409,Total,4 or more Bedrooms,
2409,House,Total,
2409,House,Not Specified,
2409,House,2 Bedrooms,
2409,House,3 Bedrooms,
2409,House,4 or more Bedrooms,
2409,Other,Total,
2409,Other,Not Specified,
2409,Other,3 Bedrooms,
2409,Flat/Unit,Total,
2409,Flat/Unit,2 Bedrooms,
2409,Flat/Unit,4 or more Bedrooms,
2410,Total,Total,
2410,Total,3 Bedrooms,
2410,House,Total,
2410,House,3 Bedrooms,
2415,Total,Total,
2415,Total,1 Bedroom,
2415,Total,Not Specified,
2415,Total,2 Bedrooms,
2415,Total,3 Bedrooms,
2415,Total,4 or more Bedrooms,
2415,House,Total,
2415,House,1 Bedroom,
2415,House,Not Specified,
2415,House,2 Bedrooms,
2415,House,3 Bedrooms,
2415,House,4 or more Bedrooms,
2415,Other,Total,
2415,Other,2 Bedrooms,
2415,Other,3 Bedrooms,
2420,Total,Total,440
2420,Total,Bedsitter,
2420,Total,1 Bedroom,
2420,Total,Not Specified,
2420,Total,2 Bedrooms,
2420,Total,3 Bedrooms,
2420,Total,4 or more Bedrooms,
2420,House,Total,465
2420,House,1 Bedroom,
2420,House,Not Specified,
2420,House,2 Bedrooms,
2420,House,3 Bedrooms,
2420,House,4 or more Bedrooms,
2420,Other,Total,
2420,Other,Bedsitter,
2420,Other,Not Specified,
2420,Other,2 Bedrooms,
2420,Other,3 Bedrooms,
2420,Townhouse,Total,
2420,Townhouse,2 Bedrooms,
2420,Flat/Unit,Total,
2420,Flat/Unit,1 Bedroom,
2420,Flat/Unit,Not Specified,
2420,Flat/Unit,2 Bedrooms,
2420,Flat/Unit,3 Bedrooms,
2421,Total,Total,
2421,Total,Bedsitter,
2421,Total,1 Bedroom,
2421,Total,Not Specified,
2421,Total,2 Bedrooms,
2421,Total,3 Bedrooms,
2421,Total,4 or more Bedrooms,
2421,House,Total,
2421,House,Bedsitter,
2421,House,1 Bedroom,
2421,House,Not Specified,
2421,House,2 Bedrooms,
2421,House,3 Bedrooms,
2421,House,4 or more Bedrooms,
2421,Other,Total,
2421,Other,1 Bedroom,
2421,Other,3 Bedrooms,
2421,Other,4 or more Bedrooms,
2421,Flat/Unit,Total,
2421,Flat/Unit,1 Bedroom,
2421,Flat/Unit,2 Bedrooms,
2422,Total,Total,440
2422,Total,Bedsitter,
2422,Total,1 Bedroom,
2422,Total,Not Specified,
2422,Total,2 Bedrooms,
2422,Total,3 Bedrooms,
2422,Total,4 or more Bedrooms,
2422,House,Total,450
2422,House,Bedsitter,
2422,House,1 Bedroom,
2422,House,Not Specified,
2422,House,2 Bedrooms,
2422,House,3 Bedrooms,
2422,House,4 or more Bedrooms,
2422,Other,Total,
2422,Other,Bedsitter,
2422,Other,1 Bedroom,
2422,Other,Not Specified,
2422,Other,2 Bedrooms,
2422,Other,3 Bedrooms,
2422,Other,4 or more Bedrooms,
2422,Townhouse,Total,
2422,Townhouse,1 Bedroom,
2422,Townhouse,2 Bedrooms,
2422,Flat/Unit,Total,
2422,Flat/Unit,Bedsitter,
2422,Flat/Unit,1 Bedroom,
2422,Flat/Unit,Not Specified,
2422,Flat/Unit,2 Bedrooms,
